Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code,pdf_url,local_pdf_path
4/8/25,K242295,BunkerHill BMD,Bunkerhill Health,Radiology,KGI,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242295.pdf,Data/FDA Summary Statements/2026-04-16_K242295.pdf
4/8/25,K242295,BunkerHill BMD,BunkerHill Health,Radiology,KGI,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242295.pdf,Data/FDA Summary Statements/2026-04-16_K242295.pdf
4/7/25,K243567,Tyto Insights for Rhonchi Detection,Tyto Care Ltd.,Anesthesiology,PHZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243567.pdf,Data/FDA Summary Statements/2026-04-16_K243567.pdf
4/7/25,K243567,Tyto Insights for Rhonchi Detection,"Tyto Care , Ltd.",Anesthesiology,PHZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243567.pdf,Data/FDA Summary Statements/2026-04-16_K243567.pdf
4/4/25,K243769,QFR (3.0),Qfr Solutions BV,Radiology,QHA,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243769.pdf,Data/FDA Summary Statements/2026-04-16_K243769.pdf
4/4/25,K240398,"RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3",RaySearch Laboratories AB (PUBL),Radiology,MUJ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240398.pdf,Data/FDA Summary Statements/2026-04-16_K240398.pdf
4/4/25,K241982,DeepFoqus (DeepFoqus-Accelerate),Foqus Technologies Inc.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241982.pdf,Data/FDA Summary Statements/2026-04-16_K241982.pdf
4/4/25,K242807,HeartFocus (V.1.1.1),Deski,Radiology,QJU,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242807.pdf,Data/FDA Summary Statements/2026-04-16_K242807.pdf
4/4/25,K240398,"RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3",RaySearch Laboratories AB (publ),Radiology,MUJ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240398.pdf,Data/FDA Summary Statements/2026-04-16_K240398.pdf
4/4/25,K243769,QFR (3.0),QFR Solutions bv,Radiology,QHA,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243769.pdf,Data/FDA Summary Statements/2026-04-16_K243769.pdf
4/3/25,K242551,syngo Dynamics (Version VA41D),Siemens Healthcare GmbH,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242551.pdf,Data/FDA Summary Statements/2026-04-16_K242551.pdf
4/2/25,K241984,Hi-D Imaging 4TAVR,Hi-D Imaging AG,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241984.pdf,Data/FDA Summary Statements/2026-04-16_K241984.pdf
4/1/25,K242925,MR Contour DL,GE HealthCare,Radiology,QKB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242925.pdf,Data/FDA Summary Statements/2026-04-16_K242925.pdf
3/31/25,K242166,TribusConnect,TribusMed Beheer BV,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242166.pdf,Data/FDA Summary Statements/2026-04-16_K242166.pdf
3/27/25,K243038,Salix Central,Artrya Limited,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243038.pdf,Data/FDA Summary Statements/2026-04-16_K243038.pdf
3/27/25,K242745,AI-Rad Companion Organs RT,Siemens Healthcare GmbH,Radiology,QKB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242745.pdf,Data/FDA Summary Statements/2026-04-16_K242745.pdf
3/27/25,K242919,V5med Lung AI,V5med Inc.,Radiology,OEB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242919.pdf,Data/FDA Summary Statements/2026-04-16_K242919.pdf
3/26/25,K243831,Rayvolve LN,AZmed,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243831.pdf,Data/FDA Summary Statements/2026-04-16_K243831.pdf
3/26/25,K243891,EarliPoint System,EarliTec Diagnostics,Neurology,QPF,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243891.pdf,Data/FDA Summary Statements/2026-04-16_K243891.pdf
3/21/25,K243808,Rayvolve PTX-PE,AZmed,Radiology,QFM,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243808.pdf,Data/FDA Summary Statements/2026-04-16_K243808.pdf
3/21/25,K250186,GoLIF! Lumbar Interbody Fusion System,"GetSet Surgical, SA",Orthopedic,MAX,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250186.pdf,Data/FDA Summary Statements/2026-04-16_K250186.pdf
3/20/25,K243292,brAIn Shoulder Positioning,Avatar Medical,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243292.pdf,Data/FDA Summary Statements/2026-04-16_K243292.pdf
3/20/25,K241961,Vent Creativity Knee v1.0 (Hermes),Vent Creativity,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241961.pdf,Data/FDA Summary Statements/2026-04-16_K241961.pdf
3/19/25,K250042,PeekMed web,"Peek Health, S.A.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250042.pdf,Data/FDA Summary Statements/2026-04-16_K250042.pdf
3/19/25,K243689,AVIEW,"Coreline Soft Co., Ltd.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243689.pdf,Data/FDA Summary Statements/2026-04-16_K243689.pdf
3/18/25,K242683,QP-Prostate® CAD,Quibim S.L.,Radiology,QDQ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242683.pdf,Data/FDA Summary Statements/2026-04-16_K242683.pdf
3/17/25,K250379,SIGNA Prime Elite,"GE Medical Systems, LLC",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250379.pdf,Data/FDA Summary Statements/2026-04-16_K250379.pdf
3/17/25,K243862,LVivo Software Application,DiA Imaging Analysis Ltd.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243862.pdf,Data/FDA Summary Statements/2026-04-16_K243862.pdf
3/14/25,K241960,DeepRESP,Nox Medical ehf,Neurology,OLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241960.pdf,Data/FDA Summary Statements/2026-04-16_K241960.pdf
3/14/25,K242323,Maestro System (REF100),Moon Surgical,Gastroenterology-Urology,QZB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242323.pdf,Data/FDA Summary Statements/2026-04-16_K242323.pdf
3/13/25,K250255,xvision Spine system,Augmedics Ltd.,Neurology,SBF,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250255.pdf,Data/FDA Summary Statements/2026-04-16_K250255.pdf
3/11/25,K241725,Better Diagnostics Caries Assist (BDCA) Version 1.0,Better Diagnostics AI Corp,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241725.pdf,Data/FDA Summary Statements/2026-04-16_K241725.pdf
3/7/25,K242338,Cleerly LABS (v2.0),"Cleerly, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242338.pdf,Data/FDA Summary Statements/2026-04-16_K242338.pdf
3/6/25,K243331,LVivo Seamless,DiA Imaging Analysis Ltd.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243331.pdf,Data/FDA Summary Statements/2026-04-16_K243331.pdf
3/5/25,K241770,Prostate MR AI (VA10A),Siemens Healthcare GmbH,Radiology,QDQ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241770.pdf,Data/FDA Summary Statements/2026-04-16_K241770.pdf
3/4/25,K243933,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243933.pdf,Data/FDA Summary Statements/2026-04-16_K243933.pdf
3/3/25,K243235,LVivo Software Application,DiA Imaging Analysis Ltd.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243235.pdf,Data/FDA Summary Statements/2026-04-16_K243235.pdf
3/3/25,K243611,JLK-SDH,"JLK, Inc.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243611.pdf,Data/FDA Summary Statements/2026-04-16_K243611.pdf
2/28/25,K242798,Airmod,Heroic Faith International Ltd.,Anesthesiology,BZQ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242798.pdf,Data/FDA Summary Statements/2026-04-16_K242798.pdf
2/28/25,K241922,Myomics,Phantomics Inc.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241922.pdf,Data/FDA Summary Statements/2026-04-16_K241922.pdf
2/27/25,K241620,ChestView US,Gleamer SAS,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241620.pdf,Data/FDA Summary Statements/2026-04-16_K241620.pdf
2/26/25,K241222,Ventripoint Medical System Plus (VMS+) 4.0,Ventripoint Diagnostics Ltd.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241222.pdf,Data/FDA Summary Statements/2026-04-16_K241222.pdf
2/26/25,K241546,aiCockpit AI Viewer,"Fovia, Inc.",Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241546.pdf,Data/FDA Summary Statements/2026-04-16_K241546.pdf
2/25/25,K243446,3DXR,GE Medical Systems SCS,Radiology,OWB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243446.pdf,Data/FDA Summary Statements/2026-04-16_K243446.pdf
2/25/25,K242967,Loss of Pulse Detection,Fitbit,Cardiovascular,SDY,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242967.pdf,Data/FDA Summary Statements/2026-04-16_K242967.pdf
2/25/25,K242822,ART-Plan+ (v.3.0.0),Therapanacea SAS,Radiology,MUJ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242822.pdf,Data/FDA Summary Statements/2026-04-16_K242822.pdf
2/24/25,K242994,OncoStudio (OS-01),"OncoSoft. Co., Ltd.",Radiology,QKB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242994.pdf,Data/FDA Summary Statements/2026-04-16_K242994.pdf
2/21/25,K242838,QuickRad,Aikenist Technologies Pvt Ltd,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242838.pdf,Data/FDA Summary Statements/2026-04-16_K242838.pdf
2/21/25,K242607,ScanDiags Ortho L-Spine MR-Q,ScanDiags AG,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242607.pdf,Data/FDA Summary Statements/2026-04-16_K242607.pdf
2/21/25,K243614,Sonio Suspect,Sonio,Radiology,POK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243614.pdf,Data/FDA Summary Statements/2026-04-16_K243614.pdf
2/20/25,K242821,EFAI Chestsuite XR Malpositioned ETT Assessment System (ETT-XR-100),"Ever Fortune.AI, Co., Ltd.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242821.pdf,Data/FDA Summary Statements/2026-04-16_K242821.pdf
2/20/25,K242240,CaRi-Plaque,Caristo Diagnostics Ltd.,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242240.pdf,Data/FDA Summary Statements/2026-04-16_K242240.pdf
2/20/25,K242447,Falcon HST,Compumedics Limited,Neurology,OLV,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242447.pdf,Data/FDA Summary Statements/2026-04-16_K242447.pdf
2/14/25,K250248,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250248.pdf,Data/FDA Summary Statements/2026-04-16_K250248.pdf
2/14/25,K243294,Brainomix 360 e-ASPECTS,Brainomix Limited,Radiology,POK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243294.pdf,Data/FDA Summary Statements/2026-04-16_K243294.pdf
2/14/25,K243696,AVIEW CAC,"Coreline Soft Co., Ltd.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243696.pdf,Data/FDA Summary Statements/2026-04-16_K243696.pdf
2/12/25,K243250,SubtleHD (1.x),"Subtle Medical, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243250.pdf,Data/FDA Summary Statements/2026-04-16_K243250.pdf
2/12/25,K243702,V8 Diagnostic Ultrasound System; cV8 Diagnostic Ultrasound System; V7 Diagnostic Ultrasound System; cV7 Diagnostic Ultrasound System; V6 Diagnostic Ultrasound System; cV6 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243702.pdf,Data/FDA Summary Statements/2026-04-16_K243702.pdf
2/12/25,K243523,NAEOTOM Alpha.Peak/ NAEOTOM Alpha; NAEOTOM Alpha.Pro; NAEOTOM Alpha.Prime,"Siemens Medical Solutions USA, Inc.",Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243523.pdf,Data/FDA Summary Statements/2026-04-16_K243523.pdf
2/11/25,K243620,Vivid iq,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243620.pdf,Data/FDA Summary Statements/2026-04-16_K243620.pdf
2/11/25,K243628,Vivid T9/Vivid T8,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243628.pdf,Data/FDA Summary Statements/2026-04-16_K243628.pdf
2/10/25,K241659,Ultrasound Workspace (UWS 6.0),Philips Ultrasound LLC,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241659.pdf,Data/FDA Summary Statements/2026-04-16_K241659.pdf
2/6/25,K243794,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243794.pdf,Data/FDA Summary Statements/2026-04-16_K243794.pdf
2/5/25,K241593,BoneMetrics (US),Gleamer SAS,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241593.pdf,Data/FDA Summary Statements/2026-04-16_K241593.pdf
2/3/25,K243268,TipTraQ (TTQ001),PranaQ Pte. Ltd.,Anesthesiology,MNR,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243268.pdf,Data/FDA Summary Statements/2026-04-16_K243268.pdf
2/3/25,K250035,Contour ProtégéAI+,MIM Software Inc.,Radiology,QKB,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250035.pdf,Data/FDA Summary Statements/2026-04-16_K250035.pdf
1/30/25,K241292,MyShoulder Planner (5.3SSWPL),Medacta International S.A.,Orthopedic,KWS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241292.pdf,Data/FDA Summary Statements/2026-04-16_K241292.pdf
1/29/25,K243042,Co-Ablation System with Sterile Co-Ablation Probe,"Hygea Medical Technology Co., Ltd.",General and Plastic Surgery,GEH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243042.pdf,Data/FDA Summary Statements/2026-04-16_K243042.pdf
1/28/25,K244027,SANSA HSAT,Huxley Medical,Anesthesiology,MNR,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K244027.pdf,Data/FDA Summary Statements/2026-04-16_K244027.pdf
1/27/25,K243229,Bunkerhill AVC,BunkerHill Health,Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243229.pdf,Data/FDA Summary Statements/2026-04-16_K243229.pdf
1/24/25,K241232,Galen Second Read,Ibex Medical Analytics Ltd.,Pathology,QPN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241232.pdf,Data/FDA Summary Statements/2026-04-16_K241232.pdf
1/24/25,K244023,MAGENTIQ-COLO (ME-APDS),Magentiq Eye LTD,Gastroenterology-Urology,QNP,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K244023.pdf,Data/FDA Summary Statements/2026-04-16_K244023.pdf
1/24/25,K243657,ClearPoint System (Software Version 3.0),"ClearPoint Neuro, Inc.",Neurology,HAW,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243657.pdf,Data/FDA Summary Statements/2026-04-16_K243657.pdf
1/23/25,K243158,TeraRecon Aorta.CT (1.1.0),"TeraRecon, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243158.pdf,Data/FDA Summary Statements/2026-04-16_K243158.pdf
1/22/25,K243350,Rapid Neuro3D,"iSchemaView, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243350.pdf,Data/FDA Summary Statements/2026-04-16_K243350.pdf
1/21/25,K243955,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243955.pdf,Data/FDA Summary Statements/2026-04-16_K243955.pdf
1/17/25,K241949,Digital Color Doppler Ultrasound System (P60 Series),Sonoscape Medical Corp.,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241949.pdf,Data/FDA Summary Statements/2026-04-16_K241949.pdf
1/17/25,K242171,TechCare Trauma,Milvue,Radiology,QBS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242171.pdf,Data/FDA Summary Statements/2026-04-16_K242171.pdf
1/17/25,K242825,Prenuvo Body Composition,Prenuvo,Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242825.pdf,Data/FDA Summary Statements/2026-04-16_K242825.pdf
1/16/25,K242522,Second Opinion CC,Pearl Inc.,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242522.pdf,Data/FDA Summary Statements/2026-04-16_K242522.pdf
1/15/25,K243065,Cardiac Guidance,"Caption Health, Inc.",Radiology,QJU,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243065.pdf,Data/FDA Summary Statements/2026-04-16_K243065.pdf
1/14/25,K241166,uCT 550,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241166.pdf,Data/FDA Summary Statements/2026-04-16_K241166.pdf
1/13/25,K243950,ARVIS® Shoulder,Kico Knee Innovation Company Pty Ltd,Neurology,SBF,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243950.pdf,Data/FDA Summary Statements/2026-04-16_K243950.pdf
1/13/25,K241200,SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option,Arineta Ltd.,Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241200.pdf,Data/FDA Summary Statements/2026-04-16_K241200.pdf
1/10/25,K241676,TriVerity,"Inflammatix, Inc.",Microbiology,PRE,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241676.pdf,Data/FDA Summary Statements/2026-04-16_K241676.pdf
1/10/25,K241009,PeriCALM Patterns 3.0,"PeriGen, Inc.",Obstetrics and Gynecology,HGM,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241009.pdf,Data/FDA Summary Statements/2026-04-16_K241009.pdf
1/10/25,K241891,ScreenDx,"Imvaria, Inc",Radiology,QWO,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241891.pdf,Data/FDA Summary Statements/2026-04-16_K241891.pdf
1/7/25,K243335,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243335.pdf,Data/FDA Summary Statements/2026-04-16_K243335.pdf
1/7/25,K241079,uCT 780,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241079.pdf,Data/FDA Summary Statements/2026-04-16_K241079.pdf
1/6/25,K243481,TMINI Miniature Robotic System,"THINK Surgical, Inc.",Neurology,OLO,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243481.pdf,Data/FDA Summary Statements/2026-04-16_K243481.pdf
1/6/25,K242488,Soteria E-View,"Omega Medical Imaging, LLC",Radiology,JAA,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242488.pdf,Data/FDA Summary Statements/2026-04-16_K242488.pdf
1/6/25,K242123,Brainomix 360 e-CTA,Brainomix Limited,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242123.pdf,Data/FDA Summary Statements/2026-04-16_K242123.pdf
1/3/25,K243363,JLK-ICH,"JLK, Inc.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243363.pdf,Data/FDA Summary Statements/2026-04-16_K243363.pdf
1/3/25,K241350,Clarify DL,"GE Medical Systems Israel, Functional Imaging",Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241350.pdf,Data/FDA Summary Statements/2026-04-16_K241350.pdf
1/2/25,K242334,Ezra Flash,"Ezra AI, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242334.pdf,Data/FDA Summary Statements/2026-04-16_K242334.pdf
1/2/25,K241696,Ortho AI,Ortho AI LLC,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241696.pdf,Data/FDA Summary Statements/2026-04-16_K241696.pdf
12/27/24,K242480,FLASH EVD System (10-0002),7D Surgical ULC,Neurology,HAW,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242480.pdf,Data/FDA Summary Statements/2026-04-16_K242480.pdf
12/23/24,K242403,Aquilion ONE (TSX-308A/3) V1.5,Canon Medical Systems Corporation,Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242403.pdf,Data/FDA Summary Statements/2026-04-16_K242403.pdf
12/20/24,K242362,Lightning Viewer,Nexsys Electronics Inc. dba Medweb,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242362.pdf,Data/FDA Summary Statements/2026-04-16_K242362.pdf
12/20/24,K242168,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,GE Medical Systems Ultrasound and Primary care Diagnostics,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242168.pdf,Data/FDA Summary Statements/2026-04-16_K242168.pdf
12/19/24,K242467,IQ-UIP,"Imbio, Inc.",Radiology,QWO,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242467.pdf,Data/FDA Summary Statements/2026-04-16_K242467.pdf
12/19/24,K243705,Saige-Density (2.5.0),"DeepHealth, Inc",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243705.pdf,Data/FDA Summary Statements/2026-04-16_K243705.pdf
12/19/24,K243688,Saige-Dx (3.1.0),"DeepHealth, Inc.",Radiology,QDQ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243688.pdf,Data/FDA Summary Statements/2026-04-16_K243688.pdf
12/19/24,K242270,OrthoNext Platform System,Orthofix Srl,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242270.pdf,Data/FDA Summary Statements/2026-04-16_K242270.pdf
12/16/24,K240793,MSKai,MSKai,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240793.pdf,Data/FDA Summary Statements/2026-04-16_K240793.pdf
12/12/24,K243538,uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S),"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243538.pdf,Data/FDA Summary Statements/2026-04-16_K243538.pdf
12/12/24,K242020,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242020.pdf,Data/FDA Summary Statements/2026-04-16_K242020.pdf
12/11/24,K243548,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QFM,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243548.pdf,Data/FDA Summary Statements/2026-04-16_K243548.pdf
12/10/24,K242461,IRISeg,Intuitive Surgical Inc.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242461.pdf,Data/FDA Summary Statements/2026-04-16_K242461.pdf
12/10/24,K242511,"V5 Diagnostic Ultrasound System, H5 Diagnostic Ultrasound System, XV5 Diagnostic Ultrasound System, XH5 Diagnostic Ultrasound System, V4 Diagnostic Ultrasound System, H4 Diagnostic Ultrasound System, XV4 Diagnostic Ultrasound System, XH4 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242511.pdf,Data/FDA Summary Statements/2026-04-16_K242511.pdf
12/9/24,K242729,AutoContour (Model RADAC V4),"Radformation, Inc.",Radiology,QKB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242729.pdf,Data/FDA Summary Statements/2026-04-16_K242729.pdf
12/6/24,K240926,PeekMed web,"Peek Health, S.A.",Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240926.pdf,Data/FDA Summary Statements/2026-04-16_K240926.pdf
12/6/24,K241543,DrAid for Liver Segmentation,VinBrain Joint Stock Company,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241543.pdf,Data/FDA Summary Statements/2026-04-16_K241543.pdf
12/6/24,K241923,EFAI Neurosuite CT Midline Shift Assessment System (MLS-CT-100),"Ever Fortune.AI, Co., Ltd.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241923.pdf,Data/FDA Summary Statements/2026-04-16_K241923.pdf
12/6/24,K240680,CDM Insights,Oxford Brain Diagnostics Ltd,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240680.pdf,Data/FDA Summary Statements/2026-04-16_K240680.pdf
12/4/24,K241197,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241197.pdf,Data/FDA Summary Statements/2026-04-16_K241197.pdf
12/3/24,K242188,ClearRead CT CAC,"Riverain Technologies, Inc.",Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242188.pdf,Data/FDA Summary Statements/2026-04-16_K242188.pdf
11/27/24,K242444,HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242444.pdf,Data/FDA Summary Statements/2026-04-16_K242444.pdf
11/27/24,K240645,Sonix Health,"Ontact Health Co., Ltd",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240645.pdf,Data/FDA Summary Statements/2026-04-16_K240645.pdf
11/26/24,K241390,NeuroMatch,LVIS Corporation,Neurology,OMB,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241390.pdf,Data/FDA Summary Statements/2026-04-16_K241390.pdf
11/25/24,K241831,Transpara (2.1.0),ScreenPoint Medical B.V.,Radiology,QDQ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241831.pdf,Data/FDA Summary Statements/2026-04-16_K241831.pdf
11/22/24,K242094,Dreem 3S,"Beacon Biosignals, Inc.",Neurology,OLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242094.pdf,Data/FDA Summary Statements/2026-04-16_K242094.pdf
