level,label,bucket,reason,consequential,n_occurrences,n_trials,example_nct,parser_rules_version
category,3,,unrecognized,True,1,1,NCT01234103,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,3 Criteria,,unrecognized,False,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,3 partners,,unrecognized,True,1,1,NCT02498067,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,3-4,,unrecognized,True,1,1,NCT00865566,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,32-Week Optional Extension Part,,structural_or_group,False,1,1,NCT02587325,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,4 partners,,unrecognized,True,1,1,NCT02498067,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,4+ Criteria,,unrecognized,False,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,49-72h,,unrecognized,False,1,1,NCT00551616,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,5 or more,,unrecognized,True,1,1,NCT00865566,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,5+ partners,,unrecognized,True,1,1,NCT02498067,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,51 - 65 years,,unrecognized,False,1,1,NCT04911296,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,6-<12 years,,unrecognized,False,1,1,NCT03376516,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,600 mg/d HCQ,,unrecognized,False,1,1,NCT01550367,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,603A: 0-12 Week Study Period,,unrecognized,False,1,1,NCT03514641,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,603B: 12-36 Week Study Period,,unrecognized,False,1,1,NCT03514641,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,66 - 75 years,,unrecognized,False,1,1,NCT04911296,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,73-96h,,unrecognized,False,1,1,NCT00551616,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,97-120h,,unrecognized,False,1,1,NCT00551616,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,> 1,,unrecognized,True,1,1,NCT00223080,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,>120h,,unrecognized,False,1,1,NCT00551616,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,>2,,unrecognized,False,1,1,NCT01617096,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,>= 65 years,,unrecognized,False,1,1,NCT00985010,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ABI mild risk,,unrecognized,False,1,1,NCT03161327,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ABI moderate risk,,unrecognized,False,1,1,NCT03161327,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ABI severe risk,,unrecognized,False,1,1,NCT03161327,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,ADDITIONAL IDENTITY,gender_diverse,mapped,True,1,1,NCT04804072,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ADHD,,unrecognized,False,1,1,NCT01943539,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ADU-ER (G5) Arm/Group,,structural_or_group,False,1,1,NCT02698371,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ADU-SE (G6) Arm/Group,,structural_or_group,False,1,1,NCT02698371,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AIN457 in Treatment Period 1 - JIA Category: ERA,,unrecognized,False,1,1,NCT03031782,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AIN457 in Treatment Period 1 -JIA Category: JPsA,,unrecognized,False,1,1,NCT03031782,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AIN457 in Treatment Period 2 - JIA Category: ERA,,unrecognized,False,1,1,NCT03031782,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AIN457 in Treatment Period 2 -JIA Category: JPsA,,unrecognized,False,1,1,NCT03031782,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AL Residents (Primary),,unrecognized,False,1,1,NCT03892200,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AL Staff at 4-Months (Secondary),,unrecognized,False,1,1,NCT03892200,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AL Staff at 8-Months (Secondary),,unrecognized,False,1,1,NCT03892200,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AL Staff at Baseline (Secondary),,unrecognized,False,1,1,NCT03892200,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AML Cohort,,structural_or_group,False,1,1,NCT02775903,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AYA,,unrecognized,False,1,1,NCT06191679,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,AYA living with HIV,,unrecognized,False,1,1,NCT03758066,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Abol Field Station,,unrecognized,False,1,1,NCT00223990,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,About half the time,,unrecognized,True,1,1,NCT05161689,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Absent,,unrecognized,True,1,1,NCT03332303,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,According to Group,,unrecognized,False,1,1,NCT05253573,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Ace/Asexual,,sexual_orientation,True,1,1,NCT05393869,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,"Active Phase, Female",female,mapped,True,1,1,NCT00603733,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,"Active Phase, Male",male,mapped,True,1,1,NCT00603733,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Acute,,unrecognized,False,1,1,NCT02522429,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Acute Phase Randomization,,unrecognized,False,1,1,NCT03266016,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Add-on Phase,,unrecognized,False,1,1,NCT04676529,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Additional Category,,unrecognized,True,1,1,NCT04047420,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Additional Identification,gender_diverse,mapped,True,1,1,NCT05720897,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Additional sex or gender,gender_diverse,mapped,True,1,1,NCT04163341,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adhesive Capsulitis Population,,unrecognized,False,1,1,NCT04160091,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescent Non-Binary,gender_diverse,mapped,True,1,1,NCT05714943,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescent girls and young women,female,mapped,True,1,1,NCT02735642,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescent participants,,unrecognized,False,1,1,NCT05879198,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Caregiver Participants,,unrecognized,False,1,1,NCT06012851,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Children,,unrecognized,False,1,1,NCT05150990,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Clinic Patients Eligible for CRC Screening Post-Implementation,,unrecognized,False,1,1,NCT03843957,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Female,female,mapped,True,1,1,NCT02678455,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Inpatients With Community Acquired Pneumonia,,unrecognized,False,1,1,NCT06027593,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Male,male,mapped,True,1,1,NCT02678455,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult Outpatients With Pharyngitis,,unrecognized,False,1,1,NCT06027593,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult participants,,unrecognized,False,1,1,NCT05358444,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult participants reporting sex,,unrecognized,False,1,1,NCT05879198,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult/parent participants,,unrecognized,False,1,1,NCT02029976,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,African American/African Heritage (HER),,structural_or_group,False,1,1,NCT01316887,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Age at first intercourse <16 years,,unrecognized,True,1,1,NCT03058835,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Age of Female Subjects,female,mapped,True,1,1,NCT02269709,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Age of Male Subjects,male,mapped,True,1,1,NCT02269709,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Agender,gender_diverse,mapped,True,1,1,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Ages 50 to 64 years: Female,female,mapped,True,1,1,NCT02117570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Ages 50 to 64 years: Male,male,mapped,True,1,1,NCT02117570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Ages 65 to 85 years: Female,female,mapped,True,1,1,NCT02117570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Ages 65 to 85 years: Male,male,mapped,True,1,1,NCT02117570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Aggressive subtype,,unrecognized,False,1,1,NCT00464620,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Agree,,unrecognized,True,1,1,NCT03808883,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Aim 1: Key Informant Interviews,,unrecognized,False,1,1,NCT04188041,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Aim 2: RI LTBI ECHO Participants,,unrecognized,False,1,1,NCT04188041,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Aim 3: Retrospective Chart Review,,unrecognized,False,1,1,NCT04188041,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alinity s Anti-HBc Gender,,unrecognized,False,1,1,NCT03285295,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alinity s Anti-HCV Gender,,unrecognized,False,1,1,NCT03285295,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alinity s Chagas Gender,,unrecognized,False,1,1,NCT03285295,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alinity s HBsAg Gender,,unrecognized,False,1,1,NCT03285295,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alinity s HIV Ag/Ab Combo Gender,,unrecognized,False,1,1,NCT03285295,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alinity s HTLV I/II Gender,,unrecognized,False,1,1,NCT03285295,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,"Alkyl nitrites (Rush, poppers)",,unrecognized,False,1,1,NCT06187415,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All,,structural_or_group,True,1,1,NCT05216835,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,All,,structural_or_group,True,1,1,NCT03907969,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Cohorts Except 15E,,unrecognized,False,1,1,NCT04889209,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Cohorts except Part 2-Arm C-Cohort 5,,structural_or_group,False,1,1,NCT03184870,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Countries,,unrecognized,False,1,1,NCT04924660,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Genders,,structural_or_group,False,1,1,NCT02968758,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Participants at Randomization,,unrecognized,False,1,1,NCT00038727,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Parts Excluding Part A.2 and Parts J,,unrecognized,False,1,1,NCT04927065,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Patients,,unrecognized,False,1,1,NCT03043872,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All RCC participants,,unrecognized,False,1,1,NCT05363072,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Sites,,unrecognized,False,1,1,NCT04124471,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Subjects,,unrecognized,False,1,1,NCT02844439,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All female,female,mapped,True,1,1,NCT02038023,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All genders,,structural_or_group,False,1,1,NCT04540835,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All in- and outpatients in 2015,,unrecognized,False,1,1,NCT04903496,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All in- and outpatients in 2017,,unrecognized,False,1,1,NCT04903496,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All in- and outpatients in 2019,,unrecognized,False,1,1,NCT04903496,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All participants were female,female,mapped,True,1,1,NCT04697264,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All patients and clinicians,,unrecognized,False,1,1,NCT02340767,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All patients at risk for PAD,,unrecognized,False,1,1,NCT03161327,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All patients with ICI primary and secondary resistance,,unrecognized,False,1,1,NCT02654587,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All randomized participants,,unrecognized,False,1,1,NCT02711553,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All randomized participants who received at least 1 dose of study drug,,unrecognized,False,1,1,NCT02711553,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All study participants,,unrecognized,False,1,1,NCT01833988,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All subjects,,unrecognized,False,1,1,NCT03905330,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Always,,unrecognized,True,1,1,NCT03741725,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Always discuss HIV with partners :,,unrecognized,False,1,1,NCT03058835,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Alzheimer's Disease,,unrecognized,False,1,1,NCT04057807,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Anal Intercourse with 3 or More Male Partners,male,mapped,True,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Anal Intercourse with Condom Failure,,unrecognized,True,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Anal sex,,unrecognized,False,1,1,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Anal sex with a condom,,unrecognized,False,1,1,NCT02248558,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Analyzed participants,,unrecognized,False,1,1,NCT01450943,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Androgynous,gender_diverse,mapped,True,1,1,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Another Gender,gender_diverse,mapped,True,1,1,NCT05849051,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Another category (transgender, genderqueer, bigender, agender)",gender_diverse,mapped,True,1,1,NCT05150860,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Another description,gender_diverse,mapped,True,1,1,NCT06290180,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Another gender,gender_diverse,mapped,True,1,1,NCT04643964,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Another gender,gender_diverse,mapped,True,1,1,NCT03539900,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Another gender identity,gender_diverse,mapped,True,1,1,NCT04223687,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Another gender identity,gender_diverse,mapped,True,1,1,NCT04742491,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Anxiety Patients,,unrecognized,False,1,1,NCT00055224,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Any female dyspareunia reported,female,mapped,True,1,1,NCT01262573,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Any male dyspareunia reported,male,mapped,True,1,1,NCT01262573,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Any recent or concurrent sexually transmitted infection,,unrecognized,False,1,1,NCT05965427,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Any sex/gender,,unrecognized,False,1,1,NCT06561217,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Apneic Threshold & CO2 Reserve Analysis Population,,unrecognized,False,1,1,NCT00732199,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Approximately once a week,,unrecognized,True,1,1,NCT00635570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Apremilast Sub-protocol,,unrecognized,False,1,1,NCT04590586,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Arbour Trails,,unrecognized,False,1,1,NCT04037436,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Arm 1,,structural_or_group,False,1,1,NCT00074308,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Arm A- female,female,mapped,True,1,1,NCT04147234,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Arm A- male,male,mapped,True,1,1,NCT04147234,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Arm B- female,female,mapped,True,1,1,NCT04147234,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Arm B- male,male,mapped,True,1,1,NCT04147234,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,As-Treated Set 1,,unrecognized,False,1,1,NCT06042049,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,As-Treated Set 2,,unrecognized,False,1,1,NCT06042049,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Assessment and Teach Back,,unrecognized,False,1,1,NCT02354482,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Assigned Sex at Birth,,unrecognized,False,1,1,NCT04743908,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Assigned female sex,female,mapped,True,1,1,NCT03714880,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Assigned male sex at birth,male,mapped,True,1,1,NCT04413708,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Attendees at workshops where group was perceived by educators to be approximately evenly male/female,female,mapped,True,1,1,NCT03645590,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Attendees at workshops where group was perceived by educators to be mostly female,female,mapped,True,1,1,NCT03645590,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Attendees at workshops where group was perceived by educators to be mostly male,male,mapped,True,1,1,NCT03645590,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Attitudes,,unrecognized,False,1,1,NCT06487390,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Authors who provided complete IPD,,unrecognized,False,1,1,NCT02569411,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Average % Female,female,mapped,True,1,1,NCT00975923,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,BDC-UColorado,,unrecognized,False,1,1,NCT03369067,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,BISEXUAL,,sexual_orientation,True,1,1,NCT04804072,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,BMI group 1,,unrecognized,False,1,1,NCT01378299,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,BMI group 2,,unrecognized,False,1,1,NCT01378299,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,BMI group 3,,unrecognized,False,1,1,NCT01378299,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bar-Korwa Field Station,,unrecognized,False,1,1,NCT00223990,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baricitinib 2mg Initial Study,,unrecognized,False,1,1,NCT05188521,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baricitinib 4mg Extension Study,,structural_or_group,False,1,1,NCT05188521,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Barriers,,unrecognized,False,1,1,NCT06487390,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline (Phase 1),,unrecognized,False,1,1,NCT03737383,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline (Phase 2),,unrecognized,False,1,1,NCT03737383,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline Period,,unrecognized,False,1,1,NCT03599557,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline Period Sex,,unrecognized,False,1,1,NCT01070095,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline Providers,,unrecognized,True,1,1,NCT05328648,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline Survey Participants,,unrecognized,False,1,1,NCT05416372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline Women,female,mapped,True,1,1,NCT05328648,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Between 18 and 65 years,,unrecognized,False,1,1,NCT00985010,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bi-Sexual,,unrecognized,True,1,1,NCT03277794,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,BiRD Phase,,unrecognized,False,1,1,NCT01559935,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bigender,gender_diverse,mapped,True,1,1,NCT05534061,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Biological Sex,,unrecognized,False,1,1,NCT04419168,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Birth sex - Female,female,mapped,True,1,1,NCT03801174,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Bisexual / Pansexual,,sexual_orientation,True,1,1,NCT06213883,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bisexual Male,,sexual_orientation,True,1,1,NCT05029362,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bisexual female,,sexual_orientation,True,1,1,NCT05029362,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Bisexual, pansexual",,sexual_orientation,True,1,1,NCT06281171,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Bisexual/Other,gender_diverse,mapped,True,1,1,NCT03577301,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Bisexual/Pansexual,,sexual_orientation,True,1,1,NCT04584294,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Blood Pressure and Lipid Studies,,unrecognized,False,1,1,NCT00542178,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Blood contact/exchange,,unrecognized,False,1,1,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Booster Period Month 49,,unrecognized,False,1,1,NCT00955682,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Booster Phase: Placebo,,unrecognized,False,1,1,NCT03970733,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Booster Phase: VLA15 with Alum higher dose,,unrecognized,False,1,1,NCT03970733,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Both,,structural_or_group,True,1,1,NCT04363320,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Both,,structural_or_group,True,1,1,NCT04148508,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Both Male and Female,female,mapped,True,1,1,NCT03670355,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Both genders,,structural_or_group,False,1,1,NCT01365091,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Both male or female,female,mapped,True,1,1,NCT01650584,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Both men and women,female,mapped,True,1,1,NCT01161446,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bovine Thrombin,,unrecognized,False,1,1,NCT02014402,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Boy,male,mapped,True,1,1,NCT03489434,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Boy/Man,male,mapped,True,1,1,NCT06425458,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Boy/Young man,male,mapped,True,1,1,NCT03852550,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Boy/man,male,mapped,True,1,1,NCT05781503,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Brazil,,unrecognized,False,1,1,NCT04924660,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Brief Hyperoxia Response Analysis Population,,unrecognized,False,1,1,NCT00732199,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Broken condom,,unrecognized,False,1,1,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,"Bronchiolitis patients (Active Deimplementation Phase, for primary outcome)",,unrecognized,False,1,1,NCT05132322,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
